Abbey;4c4f56
Absolute Zero;0048ba
Acadia;1b1404
Acapulco;7cb0a1
Acid Green;B0bf1a
Aero Blue;C9ffe5
Aero;00b9e8
Aero;7cb9e8
Aerospace Orange;Ff4f00
Affair;714693
African Violet;B284be
Air Force Blue;5d8aa8
Air Superiority Blue;72a0c1
Akaroa;D4c4a8
Alabaster;Edeae0
Alabaster;Fafafa
Albescent White;F5e9d3
Algae Green;93dfb8
Alice Blue;F0f8ff
Alizarin Crimson;E32636
Alizarin;Db2d43
Alloy Orange;C46210
Allports;0076a3
Almond Frost;907b71
Almond;Eed9c4
Almond;Efdecd
Alpine;Af8f2c
Alto;Dbdbdb
Aluminium;A9acb6
Amaranth Deep Purple;9f2b68
Amaranth Pink;F19cbb
Amaranth Purple;Ab274f
Amaranth;E52b50
Amazon;3b7a57
Amber;Ffbf00
Americano;87756e
Amethyst Smoke;A397b4
Amethyst;9966cc
Amour;F9eaf3
Amulet;7b9f80
Anakiwa;9de5ff
Android Green;3ddc84
Anti-Flash White;F2f3f4
Antique Brass;C88a65
Antique Bronze;704a07
Antique Brass;Cd9575
Antique Bronze;665d1e
Antique Fuchsia;915c83
Antique Ruby;841b2d
Antique White;Faebd7
Anzac;E0b646
Apache;Dfbe6f
Apple Blossom;Af4d43
Apple Green;E2f3ec
Apple Green;8db600
Apple;4fa83d
Apricot Peach;Fbceb1
Apricot White;Fffeec
Apricot;Eb9373
Apricot;Fbceb1
Aqua Deep;014b43
Aqua Forest;5fa777
Aqua Haze;Edf5f5
Aqua Island;A1dad7
Aqua Spring;Eaf9f5
Aqua Squeeze;E8f5f2
Aqua;00ffff
Aqua;0fffff
Aquamarine Blue;71d9e2
Aquamarine;00ffbf
Aquamarine;7fffd4
Arapawa;110c6c
Arctic Lime;D0ff14
Argentinian Blue;6cb4ee
Armadillo;433e37
Arrowtown;948771
Artichoke Green;4b6f44
Arylide Yellow;E9d66b
Ash Gray;B2beb5
Ash;C6c3b5
Asparagus;7ba05b
Asphalt;130a06
Astra;Faeab9
Astral;327da0
Astronaut Blue;013e62
Astronaut;283a77
Athens Gray;Eef0f3
Aths Special;Ecebce
Atlantis;97cd2d
Atoll;0a6f75
Atomic Tangerine;Ff9966
Au Chico;97605d
Aubergine;3b0910
Aureolin;Fdee00
Australian Mint;F5ffbe
Avocado;568203
Avocado;888d65
Axolotl;4e6649
Azalea;F7c8da
Aztec;0d1c19
Azul;0070bb
Azure (X11/Web Color);F0ffff
Azure (Web);F0ffff
Azure Radiance;007fff
Azure;007fff
Azure;315ba1
B'dazzled Blue;2e5894
Baby Blue;E0ffff
Baby Blue Eyes;A1caf1
Baby Blue;89cff0
Baby Pink;F4c2c2
Baby Powder;Fefefa
Bahama Blue;026395
Bahia;A5cb0c
Baja White;Fff8d1
