Process Yellow;f7e214
PMS 100;f4ed7c
PMS 102;f9e814
Pantone Yellow;fce016
PMS 103;c6ad0f
PMS 104;ad9b0c
PMS 105;82750f
PMS 106;f7e859
PMS 107;f9e526
PMS 108;f7dd16
PMS 109;f9d616
PMS 110;d8b511
PMS 111;aa930a
PMS 112;99840a
PMS 113;f9e55b
PMS 114;f9e24c
PMS 115;f9e04c
PMS 116;fcd116
PMS 117;c6a00c
PMS 118;aa8e0a
PMS 119;897719
PMS 120;f9e27f
PMS 121;f9e070
PMS 122;fcd856
PMS 123;ffc61e
PMS 124;e0aa0f
PMS 125;b58c0a
PMS 1205;f7e8aa
PMS 1215;f9e08c
PMS 1225;ffcc49
PMS 1235;fcb514
PMS 1245;bf910c
PMS 1255;a37f14
PMS 1265;7c6316
PMS 127;f4e287
PMS 128;f4db60
PMS 129;f2d13d
PMS 130;eaaf0f
PMS 131;c6930a
PMS 132;9e7c0a
PMS 133;705b0a
PMS 134;ffd87f
PMS 135;fcc963
PMS 136;fcbf49
PMS 137;fca311
PMS 138;d88c02
PMS 139;af7505
PMS 140;7a5b11
PMS 1345;ffd691
PMS 1355;fcce87
PMS 1365;fcba5e
PMS 1375;f99b0c
PMS 1385;cc7a02
PMS 1395;996007
PMS 1405;6b4714
PMS 141;f2ce68
PMS 142;f2bf49
PMS 143;efb22d
PMS 144;e28c05
PMS 145;c67f07
PMS 146;9e6b05
PMS 147;725e26
PMS 148;ffd69b
PMS 149;fccc93
PMS 150;fcad56
PMS 151;f77f00
PMS 152;dd7500
PMS 153;bc6d0a
PMS 154;995905
PMS 1485;ffb777
PMS 1495;ff993f
PMS 1505;f47c00
Orange 021;ef6b00
PMS 1525;b55400
PMS 1535;8c4400
PMS 1545;4c280f
PMS 155;f4dbaa
PMS 156;f2c68c
PMS 157;eda04f
PMS 158;e87511
PMS 159;c66005
PMS 160;9e540a
PMS 161;633a11
PMS 1555;f9bf9e
PMS 1565;fca577
PMS 1575;fc8744
PMS 1585;f96b07
PMS 1595;d15b05
PMS 1605;a04f11
PMS 1615;843f0f
PMS 162;f9c6aa
PMS 163;fc9e70
PMS 164;fc7f3f
PMS 165;f96302
PMS 166;dd5900
PMS 167;bc4f07
PMS 168;6d3011
PMS 1625;f9a58c
PMS 1635;f98e6d
PMS 1645;f97242
PMS 1655;f95602
PMS 1665;f95602
