Agate grey;ADB0A9
Anthracite grey;3B4044
Antique pink;BC6F72
Azure blue;365875
Basalt grey;595E60
Beige brown;6F543C
Beige grey;716C60
Beige red;B7856E
Beige;C6B286
Black blue;1E222C
Black brown;201F20
Black green;2F3B39
Black grey;323537
Black olive;3C3F38
Black red;3D2326
Blue green;214245
Blue grey;5D676D
Blue lilac;746395
Bottle green;2E3526
Bright red orange;D66C21
Brillant blue;466589
Broom yellow;CFA81E
Brown beige;A38454
Brown green;333327
Brown grey;545146
Brown red;6E2124
Capri blue;265682
Carmine red;8D1F24
Cement grey;7C8273
Chestnut brown;57332B
Chocolate brown;42332E
Chrome green;3B4634
Claret violet;5F1837
Clay brown;74502F
Cleanroom White;F2F1E1
Cobalt blue;212F51
Colza yellow;E5C000
Concrete grey;7D7F76
Copper brown;814D37
Coral red;963D2F
Cream;E5E1D4
Curry;998420
Daffodil yellow;D49300
Dahlia yellow;E4A02D
Deep orange;CF7421
Distant blue;4D648A
Dusty grey;797B7B
Emerald green;40693A
Fawn brown;67492F
Fern green;5D703E
Fibrous green;ABC251
Fir green;2A372C
Flame red;962A27
Gentian blue;0E457A
Golden yellow;D2A40E
Granite grey;394345
Graphite black;25282A
Graphite grey;45494E
Grass green;4E6E39
Green beige;C5BB8A
Green blue;294763
Green brown;816D44
Green grey;5B6058
Grey aluminium;828280
Grey beige;9C917B
Grey blue;2F3A44
Grey brown;3B3736
Grey olive;3C3D32
Grey white;D4D5CD
Heather violet;B65A88
Honey yellow;BC9611
Iron grey;535A5E
Ivory;D4C79C
Jet black;131516
Khaki grey;6C6040
Leaf green;3B5B2F
Lemon yellow;CFB539
Light blue;457FB3
Light green;88B5B3
Light grey;C2C6C3
Light ivory;DED3B6
Light pink;CC9EA4
Luminous bright orange;FFAD19
Luminous bright red;F71027
Luminous green ;20A339
Luminous orange;FF4612
Luminous red;EE1729
Luminous yellow;FFFF00
Mahogany brown;483026
Maize yellow;CF9804
May green;5C8144
Melon yellow;F2A500
Mint green;226C45
Mint turquoise;568480
Moss green;234235
Moss grey;76776A
Mouse grey;696D6B
Night blue;282C58
Nut brown;533A29
Ocean blue;113E4D
Ochre brown;8F6833
Ochre yellow;AD9451
Olive brown;694F2B
Olive drab;3B382E
Olive green;4F553E
Olive grey;7D7965
Olive yellow;999167
Opal green;0D5951
Orange brown;965D33
Orient red;973238
Oxide red;643730
Oyster white;DFDBC7
Pale brown;6E5B4B
Pale green;899B79
Papyrus white;C6CBC6
Pastel blue;6C8DAA
Pastel green;B8CFAD
Pastel orange;E17C30
Pastel turquoise;86A9AD
Pastel violet;95838F
Pastel yellow;D9A156
Patina green;4A7363
Pearl beige;898271
Pearl blackberry;67657A
Pearl copper;764537
Pearl dark grey;767779
Pearl gentian blue;3C6379
Pearl gold;746341
Pearl green;2E4F31
Pearl light grey;818382
Pearl mouse grey;7A7871
Pearl night blue;1B2B4D
Pearl opal green;27514A
Pearl orange;824128
Pearl pink;94352D
Pearl ruby red;661925
Pearl violet;685C80
Pebble grey;B1B1A1
Pigeon blue;667691
Pine green;3D5547
Platinum grey;949292
Pure green;3F8C3D
Pure orange;CC5608
Pure red;B92726
Pure white;EFEEE5
Purple red;651927
Purple violet;44263C
Quartz grey;68675F
RAL orange;DC5B00
Raspberry red;9E1B3C
Red brown;5C3128
Red lilac;7C5B80
Red orange;A74D23
Red violet;823A4B
Reed green;777659
Reseda green;6A7C5B
Rose;B9535B
Ruby red;7C0D24
Saffron yellow;E4AF56
Salmon orange;C2674F
Salmon pink;BE6954
Sand yellow;C7AE72
Sapphire blue;203151
Sepia brown;453729
Signal black;2F3133
Signal blue;134A85
Signal brown;704F40
Signal green;417E57
Signal grey;969799
Signal orange;BC602D
Signal red;8F1E24
Signal violet;7C477D
Signal white;EBECEA
Signal yellow;E6B019
Silk grey;B3B2A9
Silver grey;8B949B
Sky blue;3172AD
Slate grey;51535A
Squirrel grey;7B858D
Steel blue;222C3E
Stone grey;8C8C83
Strawberry red;B63C49
Sulfur yellow;E8E253
Sun yellow;DB9A17
Tarpaulin grey;575B57
Telegrey 1;8C9094
Telegrey 2;7C8287
Telegrey 4;C5C5C5
Telemagenta;AC3B71
Terra brown;4C3E30
Tomato red;8A2F28
Traffic black;262625
Traffic blue;0F518A
Traffic green;3A8258
Traffic grey A;8C9190
Traffic grey B;4F5352
Traffic orange;C9560D
Traffic purple;852E6F
Traffic red;AB1519
Traffic white;EFF0EB
Traffic yellow;E6BE05
Turquoise blue;47848D
Turquoise green;256753
Ultramarine blue;193278
Umbra grey;4C4C47
Vermilion;AC3721
Violet blue;35496B
Water blue;216D76
White aluminium;9A9D9D
Window grey;969CA1
Wine red;561E27
Yellow green;689A45
Yellow grey;8C8870
Yellow olive;454339
Yellow orange;C7750F
Zinc yellow;EBD346
